year,area,cafe_count,indoor_seats,outdoor_seats,total_seats
2014,Docklands,57,14196,3613,17809
2014,East Melbourne,32,5479,828,6307
2014,Kensington,21,741,275,1016
2014,Melbourne (CBD),608,63371,13176,76547
2014,Melbourne (Remainder),23,1971,1795,3766
2014,North Melbourne,50,2539,645,3184
2014,Parkville,14,1530,1014,2544
2014,Port Melbourne,7,599,339,938
2014,South Yarra,6,531,114,645
2014,Southbank,46,12865,3732,16597
2014,West Melbourne (Industrial),1,290,67,357
2014,West Melbourne (Residential),32,1104,253,1357
2015,Carlton,155,10211,3508,13719
2015,Docklands,57,14196,3613,17809
2015,East Melbourne,32,5479,828,6307
2015,Kensington,23,940,306,1246
2015,Melbourne (CBD),621,64387,13302,77689
2015,Melbourne (Remainder),23,2184,1276,3460
2015,North Melbourne,50,2539,645,3184
2015,Parkville,14,1530,1014,2544
2015,Port Melbourne,7,597,330,927
2015,South Yarra,6,613,136,749
2015,Southbank,50,12907,4042,16949
2015,West Melbourne (Industrial),1,290,67,357
2015,West Melbourne (Residential),32,1104,253,1357
2016,Carlton,171,11531,3597,15128
2016,Docklands,65,15378,3834,19212
2016,East Melbourne,36,5688,868,6556
2016,Kensington,23,940,306,1246
2016,Melbourne (CBD),623,64560,13264,77824
2016,Melbourne (Remainder),23,2184,1276,3460
2016,North Melbourne,58,2915,692,3607
2016,Parkville,19,1960,973,2933
2016,Port Melbourne,7,597,330,927
2016,South Yarra,6,613,136,749
2016,Southbank,50,12907,4042,16949
2016,West Melbourne (Residential),28,1004,296,1300
2017,Carlton,171,11531,3597,15128
2017,Docklands,65,15378,3834,19212
2017,East Melbourne,36,5688,868,6556
2017,Kensington,24,959,278,1237
2017,Melbourne (CBD),627,65448,13320,78768
2017,Melbourne (Remainder),20,1975,1156,3131
2017,North Melbourne,58,2915,692,3607
2017,Parkville,19,1960,973,2933
2017,Port Melbourne,9,759,348,1107
2017,South Yarra,6,613,136,749
2017,Southbank,51,13545,3926,17471
2017,West Melbourne (Residential),28,1004,296,1300
2018,Carlton,163,10356,3396,13752
2018,Docklands,69,14699,3691,18390
2018,East Melbourne,35,5600,779,6379
2018,Kensington,24,959,278,1237
2018,Melbourne (CBD),636,65755,12069,77824
2018,Melbourne (Remainder),20,1975,1156,3131
2018,North Melbourne,60,2985,682,3667
2018,Parkville,18,2158,854,3012
2018,Port Melbourne,9,759,348,1107
2018,South Yarra,6,613,136,749
2018,Southbank,51,13545,3926,17471
2018,West Melbourne (Residential),35,1212,325,1537
2019,Carlton,163,10356,3396,13752
2019,Docklands,69,14699,3691,18390
2019,East Melbourne,35,5600,779,6379
2019,Kensington,22,953,263,1216
2019,Melbourne (CBD),635,65643,11588,77231
2019,Melbourne (Remainder),19,1896,1212,3108
2019,North Melbourne,60,2985,682,3667
2019,Parkville,18,2158,854,3012
2019,Port Melbourne,10,765,414,1179
2019,South Yarra,7,663,136,799
2019,Southbank,52,13590,3828,17418
2019,West Melbourne (Residential),35,1212,325,1537
2020,Carlton,157,10326,2942,13268
2020,Docklands,71,13359,3615,16974
2020,East Melbourne,31,5216,747,5963
2020,Kensington,22,953,263,1216
2020,Melbourne (CBD),595,59537,10628,70165
2020,Melbourne (Remainder),17,1765,1128,2893
2020,North Melbourne,53,2586,524,3110
2020,Parkville,15,1996,834,2830
2020,Port Melbourne,10,765,414,1179
2020,South Yarra,7,663,136,799
2020,Southbank,50,13093,3754,16847
2020,West Melbourne (Residential),33,1284,264,1548
2021,Carlton,157,10326,2942,13268
2021,Docklands,70,9585,3822,13407
2021,East Melbourne,31,5216,747,5963
2021,Kensington,20,832,209,1041
2021,Melbourne (CBD),590,59137,10447,69584
2021,Melbourne (Remainder),17,1731,1034,2765
2021,North Melbourne,53,2586,524,3110
2021,Parkville,15,1996,834,2830
2021,Port Melbourne,8,635,300,935
2021,South Yarra,6,564,118,682
2021,Southbank,48,12633,3685,16318
2021,West Melbourne (Residential),33,1284,264,1548
2022,Carlton,153,10096,3198,13294
2022,Docklands,70,9585,3822,13407
2022,East Melbourne,26,4796,633,5429
2022,Kensington,20,832,209,1041
2022,Melbourne (CBD),564,57047,9405,66452
2022,Melbourne (Remainder),17,1731,1034,2765
2022,North Melbourne,55,2592,655,3247
2022,Parkville,14,1639,701,2340
2022,Port Melbourne,8,635,300,935
2022,South Yarra,6,564,118,682
2022,Southbank,48,12633,3685,16318
2022,West Melbourne (Residential),30,1018,342,1360
2023,Carlton,164,10539,3199,13738
2023,Docklands,63,9284,3387,12671
2023,East Melbourne,26,1567,451,2018
2023,Kensington,22,1064,208,1272
2023,Melbourne (CBD),564,57047,9405,66452
2023,Melbourne (Remainder),18,1695,979,2674
2023,North Melbourne,58,2771,753,3524
2023,Parkville,16,1477,681,2158
2023,Port Melbourne,9,613,299,912
2023,South Yarra,6,555,189,744
2023,Southbank,52,12357,3784,16141
2023,West Melbourne (Residential),36,1429,244,1673
2024,Carlton,164,10539,3199,13738
2024,Docklands,63,9284,3387,12671
2024,East Melbourne,26,1567,451,2018
2024,Kensington,22,1064,208,1272
2024,Melbourne (CBD),603,63408,9290,72698
2024,Melbourne (Remainder),18,1695,979,2674
2024,North Melbourne,58,2771,753,3524
2024,Parkville,16,1477,681,2158
2024,Port Melbourne,9,613,299,912
2024,South Yarra,6,555,189,744
2024,Southbank,52,12357,3784,16141
2024,West Melbourne (Residential),36,1429,244,1673
